name,category,tags,ingredients,instructions,calories,protein,carbs,fat,fiber,sugar,sodium,category_clean,tags_clean,ingredients_clean,content_text,sim_score,nutri_dist,final_score
Gorp,Lunch/Snacks,"c(""High Protein"", ""High In..."", ""< 15 Mins"", ""Easy"")","""raisins""","""mix.""",637.3,20.1,60.1,40.6,8.2,36.6,627.4,lunch snacks,"high protein , high in , 15 mins , easy",raisins,"gorp lunch snacks high protein , high in , 15 mins , easy raisins",0.551928116057952,1.6865373812180051,0.30466792294060413
Baked Noodles,Lunch/Snacks,"c(""High Protein"", ""High In..."", ""< 60 Mins"")","c(""cheddar cheese"", ""garlic cloves"", ""eggs"")","c(""Cook pasta according to instructions."", ""Meanwhile mix all the other ingredients."", ""When pasta is cooked, mix with the egg mixture and put in a greased tray."", ""Bake for 30 minutes."")",832.4,45.4,90.9,31.2,4.2,3.0,1036.1,lunch snacks,"high protein , high in , 60 mins","cheddar cheese , garlic cloves , eggs","baked noodles lunch snacks high protein , high in , 60 mins cheddar cheese , garlic cloves , eggs",0.41787169868235496,0.36980702129174675,0.27932431486195664
Cheesy Tuna Ramen,Lunch/Snacks,"c(""High Protein"", ""High In..."", ""< 15 Mins"", ""Beginner Cook"", ""Easy"", ""Inexpensive"")","c(""American cheese"", ""tuna"", ""pepper"")","c(""Cook noodles in water. Drain most of water off of the noodles."", ""Add Seasoning packet, drained tuna, pepper, and cheese."", ""Place a plate on top of the bowl to melt the cheese and steam the ingredients together for 2-3 minutes."", ""Stir. Enjoy."")",770.9,55.9,59.2,33.3,0.0,0.0,1463.7,lunch snacks,"high protein , high in , 15 mins , beginner cook , easy , inexpensive","american cheese , tuna , pepper","cheesy tuna ramen lunch snacks high protein , high in , 15 mins , beginner cook , easy , inexpensive american cheese , tuna , pepper",0.3821776088369365,0.6793736697603392,0.23823489583202748
Croque Monsieur,Lunch/Snacks,"c(""High Protein"", ""High In..."", ""< 15 Mins"", ""Easy"")","c(""gruyere"", ""smoked ham"", ""butter"")","c(""Butter 1 side of each bread slice."", ""Set half of the slices of bread buttered side down in a skillet, and cover each with a slice of cheese."", ""Place 3 or 4 slices of the ham over the cheese, and place the top slice of bread over the ham, buttered side up."", ""Cook sandwiches until bottom is golden brown and cheese is melted, about 3 minutes per side."", ""Remove sandwiches and place on a plate and serve immediately."")",760.3,48.0,67.8,32.2,3.8,0.5,2442.3,lunch snacks,"high protein , high in , 15 mins , easy","gruyere , smoked ham , butter","croque monsieur lunch snacks high protein , high in , 15 mins , easy gruyere , smoked ham , butter",0.36198225925874794,0.6726862731135325,0.22444602732084729
21 Club Burger,Lunch/Snacks,"c(""Meat"", ""High Protein"", ""High In..."", ""Oven"", ""Stove Top"", ""< 4 Hours"")","c(""celery"", ""butter"")","c(""Preheat oven to 400 degrees."", ""In a large, ovenproof skillet saute celery in 1 tablespoon butter over medium heat for about 4 minutes. Remove celery and let cool."", ""In bowl, combine sirloin, bread crumbs, au jus, and celery. Form in to 4 patties."", ""Melt remaining butter in skillet. Place patties in skillet and cook 2-3 minutes or until bron on one side. Flip patties and place in oven. Cook for 12-15 minutes for medium doneness. Place on buns."")",738.2,49.2,29.7,45.7,1.3,3.2,1263.3,lunch snacks,"meat , high protein , high in , oven , stove top , 4 hours","celery , butter","21 club burger lunch snacks meat , high protein , high in , oven , stove top , 4 hours celery , butter",0.42327641664620586,1.5232927437157304,0.22310366617935845
Quesedillas,Lunch/Snacks,"c(""Cheese"", ""South American"", ""High Protein"", ""High In..."", ""< 15 Mins"", ""Easy"")","c(""tortilla"", ""cheddar cheese"", ""mozzarella cheese"")","c(""First, grill the tortilla on one side. If using a Foreman grill, fold the tortilla in half to toast both halves. On a normal grill, spread the tortilla flat and grill until just browned."", ""Once toasted, place the cheeses and pepper in the centre of the tortilla on the toasted side."", ""Sprinkle on the chili to taste."", ""Fold the tortilla in half again, with the non-toasted side now on the outside. Wet your finger and rub round the edge, then press the tortilla firmly to seal it."", ""Grill again until browned on both sides and until the cheeses have melted together."", 
""Cut into two triangles to serve. Good on its own, or dipped in salsas etc."")",934.0,47.7,64.5,53.8,5.0,4.9,1750.3,lunch snacks,"cheese , south american , high protein , high in , 15 mins , easy","tortilla , cheddar cheese , mozzarella cheese","quesedillas lunch snacks cheese , south american , high protein , high in , 15 mins , easy tortilla , cheddar cheese , mozzarella cheese",0.41136840104208755,1.3802938593367988,0.22220681060586078
Pilgrim Sandwich,Lunch/Snacks,"c(""Poultry"", ""Meat"", ""High Protein"", ""High In..."", ""Brunch"", ""< 15 Mins"", ""Stove Top"")","c(""swiss cheese"", ""turkey breast"", ""mayonnaise"")","c(""Spread outside of bread lightly with mayonnaise."", ""Spread inside of bread with thousand island dressing."", ""Equally divide turkey between 4 sandwiches."", ""Equally divide cheese between 4 sandwiches."", ""Put in frying pan, as you would fry a grilled cheese sandwich over medium heat."", ""When toasted and cheese is melted, sandwich is ready to enjoy!"")",917.6,51.9,76.3,44.0,4.2,8.2,1359.8,lunch snacks,"poultry , meat , high protein , high in , brunch , 15 mins , stove top","swiss cheese , turkey breast , mayonnaise","pilgrim sandwich lunch snacks poultry , meat , high protein , high in , brunch , 15 mins , stove top swiss cheese , turkey breast , mayonnaise",0.36641100622187167,0.8305664348390263,0.2193332756492074
Maid-Rite (Loose Meat),Lunch/Snacks,"c(""High Protein"", ""High In..."", ""< 30 Mins"", ""Easy"")","c(""mustard"", ""onion"", ""pickles"")","c(""go to the meat department, pick a nice looking Chuck Roast. 3-4 lbs."", ""Go to the butcher, ask him/her to grind it FINE."", ""In a Cast iron skillet scramble up the Chuck Roast.  (MUST BE A CAST IRON PAN, a regualr pan makes the meat taste boiled and loses it's flavor)."", ""While the meat is cooking, chop up some onion."", ""MUSTARD ONION AND PICKLE ON THE BUN LIKE A BURGER."", ""Please Please do NOT use ketchup it changes the flavor of the meat some how.So if you want an awesome burger do NOT USE ketchup.""
)",1000.7,67.0,24.4,68.5,1.5,4.6,823.9,lunch snacks,"high protein , high in , 30 mins , easy","mustard , onion , pickles","maid rite loose meat lunch snacks high protein , high in , 30 mins , easy mustard , onion , pickles",0.4809739572642926,2.4558127022557703,0.21498256035964697
Chicken Chipotle Panini Sandwich,Lunch/Snacks,"c(""Chicken"", ""Poultry"", ""Cheese"", ""Meat"", ""High Protein"", ""High In..."", ""Weeknight"", ""< 15 Mins"", ""Easy"")","""havarti cheese""","c(""Heat the panini press on high."", ""Spread one side of each slice of bread with the chipotle hummus to cover completely."", ""Place the sliced chicken on top of  the hummus on two of the bread slices."", ""Microwave the bacon for 10 seconds.   Place the bacon on top of the chicken, then the cheese."", ""Finish the sandwich by adding the remaining bread slices, hummus side in, on top of the cheese."", ""Place the two sandwiches on the press and cook for several minutes, or until the bread is crisp and the cheese has melted."", 
""Remove the sandwiches and cut in half before serving."")",931.2,75.6,77.9,34.1,4.9,3.3,1837.0,lunch snacks,"chicken , poultry , cheese , meat , high protein , high in , weeknight , 15 mins , easy",havarti cheese,"chicken chipotle panini sandwich lunch snacks chicken , poultry , cheese , meat , high protein , high in , weeknight , 15 mins , easy havarti cheese",0.3582455543690727,0.8157579497891396,0.21438779191714585
BLT Burgers,Lunch/Snacks,"c(""Meat"", ""High Protein"", ""High In..."", ""< 60 Mins"", ""Easy"")","""bacon""","c(""Cook bacon in a 12-inch heavy skillet over medium heat, stirring occasionally, until crisp, then transfer with a slotted spatula to paper towels to drain. Cool to room temperature, about 5 minutes."", ""Holding one fourth of beef in your palm, make a depression in beef and add one fourth of bacon to depression. Pull beef over bacon to enclose completely, then flatten into a 3/4-inch-thick patty (4 inches in diameter). Make 3 more patties in same manner with remaining beef and bacon."", ""Prepare grill for direct-heat cooking over medium-hot charcoal (medium heat for gas)."", 
""Season patties on both sides with salt and pepper."", ""Oil grill rack, then grill patties, covered only if using a gas grill, turning over once, 5 to 8 minutes total for medium-rare. (Burgers will continue to cook slightly after being removed from grill.)."", ""Assemble burgers with buns and with suggested accompaniments such as mayonnaise; mustard; iceberg lettuce; sliced tomatoes; dill pickles."", ""NOTE 1: Patties can be formed up to 1 hour ahead and chilled, covered."", ""NOTE 2:   If you aren't able to grill outdoors, patties can be saut̩ed in 3 tablespoons bacon fat remaining in skillet (discard remainder) over medium-high heat, turning over once, 6 to 8 minutes for medium-rare.""
)",796.6,42.2,21.6,58.6,0.9,2.7,779.1,lunch snacks,"meat , high protein , high in , 60 mins , easy",bacon,"blt burgers lunch snacks meat , high protein , high in , 60 mins , easy bacon",0.44342623034816653,2.1073274941251867,0.20682723844310474
Grilled Crab and Cheddar Sandwich,Lunch/Snacks,"c(""Crab"", ""High Protein"", ""High In..."", ""< 30 Mins"", ""Easy"")","c(""sharp cheddar cheese"", ""mayonnaise"", ""butter"")","c(""PICK OVER the crabmeat to remove any bits of shell or cartilage."", ""COMBINE THE CRABMEAT and cheese in a large bowl and stir to mix. Add enough mayonnaise to hold the mixture together."", ""SPREAD THE CRAB MIXTURE on half of the bread slices and top with the remaining bread. Brush the tops with some of the melted butter. Heat a heavy skillet or griddle over medium heat. Add the sandwiches, buttered side down, and toast until browned, about 2 minutes. Brush the tops with more butter, turn the sandwiches, and continue toasting until the second side is browned and the cheese has melted, 2 to 3 minutes longer."", 
""TRANSFER THE SANDWICHES to individual plates and serve, cut in half if desired."")",802.7,44.9,76.5,35.1,3.1,4.5,1898.7,lunch snacks,"crab , high protein , high in , 30 mins , easy","sharp cheddar cheese , mayonnaise , butter","grilled crab and cheddar sandwich lunch snacks crab , high protein , high in , 30 mins , easy sharp cheddar cheese , mayonnaise , butter",0.334021138402141,0.691903439436018,0.20387357199370396
Air Fryer Grilled Cheese,Lunch/Snacks,"c(""High Protein"", ""High In..."", ""< 15 Mins"", ""Easy"")","c(""butter"", ""cheese"")","c(""Butter the outsides of the bread."", ""Place cheese inside and secure with a couple toothpicks (so the bread doesn't fly off inside the air fryer)."", ""Cook 4 minutes at 370, then flip and cook another 4 minutes."")",542.6,26.2,34.8,33.2,1.2,2.2,1386.3,lunch snacks,"high protein , high in , 15 mins , easy","butter , cheese","air fryer grilled cheese lunch snacks high protein , high in , 15 mins , easy butter , cheese",0.4075644738153001,1.6865247216881485,0.20361403191536404
